12/08/2020, 15:37:13	12/08/2020, 04:30:00	Businesswire Funding	 Arcturus Therapeutics Announces Pricing of $150 Million Public Offering of Common Stock	http://www.businesswire.com/news/home/20201207006013/en/%C2%A0Arcturus-Therapeutics-Announces-Pricing-of-150-Million-Public-Offering-of-Common-Stock/	SAN DIEGO--(BUSINESS WIRE)---- $ARCT #Clinicaltrial--Arcturus Therapeutics Announces Pricing of $150.15 Million Public Offering of Common Stock	(Possible_Funding /IPOs)	Not Computed	('$150 Million', 'MONEY')	-
12/08/2020, 15:37:14	12/08/2020, 14:00:00	Businesswire IPO	Rodgers Silicon Valley Acquisition Corp. Announces Closing of $230 Million Initial Public Offering	http://www.businesswire.com/news/home/20201208005230/en/Rodgers-Silicon-Valley-Acquisition-Corp.-Announces-Closing-of-230-Million-Initial-Public-Offering/	WOODSIDE, Calif.--(BUSINESS WIRE)--Rodgers Silicon Valley Acquisition Corp. (NASDAQ: RSVAU, the “Company”) announced today that it closed its initial public offering of 23,000,000 units, which includes 3,000,000 units issued pursuant to the exercise by the underwriter of their over-allotment option. The offering was priced at $10.00 per unit, resulting in gross proceeds of $230,000,000. Each unit consists of one share of common stock and one-half of one redeemable warrant. Each whole warrant wi	(M&A /Possible_Funding /IPOs)	Not Computed	('Rodgers Silicon Valley Acquisition Corp.', 'ORG')('$230 Million', 'MONEY')	-
12/08/2020, 15:37:14	12/07/2020, 23:28:00	Businesswire IPO	Revolution Acceleration Acquisition Corp Announces Pricing of $250 Million Initial Public Offering	http://www.businesswire.com/news/home/20201207005972/en/Revolution-Acceleration-Acquisition-Corp-Announces-Pricing-of-250-Million-Initial-Public-Offering/	WASHINGTON--(BUSINESS WIRE)--Revolution Acceleration Acquisition Corp (the “Company”) announced today that it priced its initial public offering of 25,000,000 units at $10.00 per unit. The units will be listed on the Nasdaq Capital Market (“Nasdaq”) and trade under the ticker symbol “RAACU” beginning December 8, 2020. Each unit consists of one share of Class A common stock and one-third of one redeemable warrant. Each whole warrant entitles the holder thereof to purchase one share of Class A co	(M&A /Possible_Funding /IPOs)	Not Computed	('Revolution Acceleration Acquisition Corp Announces', 'ORG')('$250 Million', 'MONEY')	-
12/08/2020, 15:37:14	12/07/2020, 14:55:00	Businesswire IPO	Docebo Announces Closing of Initial Public Offering in the United States and Public Offering in Canada	http://www.businesswire.com/news/home/20201207005621/en/Docebo-Announces-Closing-of-Initial-Public-Offering-in-the-United-States-and-Public-Offering-in-Canada/	TORONTO--(BUSINESS WIRE)--Docebo Inc. (“Docebo” or the “Company”) (TSX:DCBO) today announced the closing of its previously-announced marketed public offering of common shares in the United States and Canada. A total of 3,450,000 common shares of Docebo were sold, including 450,000 common shares following the exercise in full by the underwriters of their over-allotment option, at a price of US$48.00 per share, for gross proceeds to the Company of US$165.6 million. Docebo expects that the net pro	(IPOs)	Not Computed	('Docebo', 'NORP')('the United States', 'GPE')('Canada', 'GPE')	-
12/08/2020, 15:37:15	12/07/2020, 14:34:00	Businesswire Divestiture	JCPenney’s Retail and Operating Assets to Exit Chapter 11	http://www.businesswire.com/news/home/20201207005595/en/JCPenney%E2%80%99s-Retail-and-Operating-Assets-to-Exit-Chapter-11/	PLANO, Texas--(BUSINESS WIRE)--JCPenney’s retail and operating assets to exit Chapter 11 as the Company continues to serve customers under the JCPenney banner.	(Bankruptcy)	Not Computed	('JCPenney', 'ORG')('Exit Chapter 11', 'PRODUCT')	-
12/08/2020, 15:37:17	12/08/2020, 14:55:00	PRNewswire -Auto & Transportation	WSGF - Vaycaychella Announces Goldman Small Cap Research RPT And $0.20 PPS TGT With Airbnb IPO Presented As Proxy And Comp	https://www.prnewswire.com:443/news-releases/wsgf--vaycaychella-announces-goldman-small-cap-research-rpt-and-0-20-pps-tgt-with-airbnb-ipo-presented-as-proxy-and-comp-301188501.html	DALLAS, Dec. 8, 2020 /PRNewswire/ -- World Series of Golf, Inc. (USOTC: WSGF) ("WSGF"), through its new subsidiary Vaycaychella (parent corporate name change pending), a sharing economy technology business serving the short-term rental market, today announced that Goldman Small Cap...	(IPOs)	Not Computed	('WSGF - Vaycaychella Announces', 'ORG')('Cap Research', 'PERSON')('0.20', 'MONEY')	-
12/08/2020, 15:37:21	12/08/2020, 20:29:33	BusinessJournal	JCPenney to exit bankruptcy by mid-2021 upon approval of sale	https://www.bizjournals.com/milwaukee/news/2020/12/08/jcpenney-exit-bankruptcy.html?ana=brss_1028	The previously announced sale was confirmed.	(Possible_M&A /Bankruptcy)	Not Computed	('JCPenney', 'ORG')('mid-2021', 'DATE')	-
12/08/2020, 15:37:21	12/08/2020, 19:30:45	BusinessJournal	Former Biscayne Neurotherapeutics CEO aims to raise $75M through SPAC IPO	https://www.bizjournals.com/southflorida/news/2020/12/08/big-cypress-acquisition-corp-aims-to-raise-75m.html?ana=brss_1028	The SPAC will focus on acquiring companies in the life sciences industry.	(Funding /IPOs)	Not Computed	('Biscayne Neurotherapeutics', 'PERSON')('75', 'MONEY')	-
12/08/2020, 15:37:21	12/08/2020, 12:42:27	BusinessJournal	JCPenney to exit bankruptcy by mid-2021 upon approval of sale	https://www.bizjournals.com/pittsburgh/news/2020/12/08/jcpenney-exit-bankruptcy.html?ana=brss_1028	The previously announced sale was confirmed.	(Possible_M&A /Bankruptcy)	Not Computed	('JCPenney', 'ORG')('mid-2021', 'DATE')	-
12/08/2020, 15:37:21	12/08/2020, 11:00:00	BusinessJournal	JCPenney to exit bankruptcy by mid-2021 upon approval of sale	https://www.bizjournals.com/bizwomen/news/latest-news/2020/12/jcpenney-exit-bankruptcy.html?ana=brss_1028	The previously announced sale was confirmed.	(Possible_M&A /Bankruptcy)	Not Computed	('JCPenney', 'ORG')('mid-2021', 'DATE')	-
12/08/2020, 15:37:21	12/07/2020, 21:58:37	BusinessJournal	Blue Star Donut emerges from bankruptcy	https://www.bizjournals.com/portland/news/2020/12/07/blue-star-donut-emerges-from-bankruptcy.html?ana=brss_1028	The doughnut maker has emerged from Chapter 11 through a partnership with Sortis Holdings.	(Bankruptcy)	Not Computed	('Blue Star Donut', 'ORG')	-
