11/20/2020, 16:32:56	11/20/2020, 17:55:04	FinSME	Satispay Raises €93M in Series C Funding	https://www.finsmes.com/2020/11/satispay-raises-e93m-in-series-c-funding.html	Satispay, a Milan, Italy-based mobile payments startup, raised €93m in Series C funding. The round &#8211; completed at a €180M pre money valuation &#8211; consists of €68M of newly issued primary shares and approximately €25M secondary shares purchased from existing investors. Upon closing of this round, Satispay has now reached a total of €110M in primary capital raised since its inception in [&#8230;]The post Satispay Raises €93M in Series C Funding appeared first on FinSMEs.	(Funding)	Not Computed	('Satispay Raises', 'ORG')	-
11/20/2020, 16:32:56	11/20/2020, 17:12:54	FinSME	Credit Key Closes $33.85M in Series A Financing	https://www.finsmes.com/2020/11/credit-key-closes-33-85m-in-series-a-financing.html	Credit Key, a Los Angeles, CA-based B2B e-commerce payments solution, closed a $33.85M in Series A financing. Backers included Greycroft, Bonfire Ventures, Loeb.nyc and other investors. The company intends to use the funds to continue to expand its presence in the B2B payment space. Launched in 2017 by John Tomich, CEO, Credit Key is a [&#8230;]The post Credit Key Closes $33.85M in Series A Financing appeared first on FinSMEs.	(Possible_Funding)	Not Computed	('Credit Key Closes', 'ORG')('$33.85M', 'MONEY')	-
11/20/2020, 16:32:56	11/20/2020, 16:57:58	FinSME	Koa Health Secures Over €14M in Initial Funding	https://www.finsmes.com/2020/11/koa-health-secures-over-e14m-in-initial-funding.html	Koa Health (previously known as Alpha Health), a Barcelona, Spain-based mental health treatment company, secured over €14M in initial Series A funding (that will total up to €30m). The round was led by Ancora Finance Group and Wellington Partners. They will both have seats on the Koa Health board. The company intends to use the [&#8230;]The post Koa Health Secures Over €14M in Initial Funding appeared first on FinSMEs.	(Funding)	Not Computed	('Koa Health Secures Over', 'ORG')	-
11/20/2020, 16:32:56	11/20/2020, 16:17:46	FinSME	Observable Raises $10.5M in Series A Funding	https://www.finsmes.com/2020/11/observable-raises-10-5m-in-series-a-funding.html	Observable, a San Francisco, CA-based provider of a platform for data visualization, raised $10.5M in Series A funding. The round was led by Sequoia Capital and Acrew Capital.  Led by Chief Technology Officer Mike Bostock, and Chief Executive Officer Melody Meckfessel, Observable provides a data visualization platform for developers, data scientists, journalists, educators, and more [&#8230;]The post Observable Raises $10.5M in Series A Funding appeared first on FinSMEs.	(Funding)	Not Computed	('$10.5M', 'MONEY')	-
11/20/2020, 16:32:56	11/20/2020, 15:33:08	FinSME	Gan Limited to Acquire Coolbet, For Approx. €149M	https://www.finsmes.com/2020/11/gan-limited-to-acquire-coolbet-for-approx-e149m.html	GAN Limited (NASDAQ: GAN), a business-to-business supplier of internet gaming software-as-a-service solutions primarily to the U.S. land-based casino industry, is to acquire Vincent Group p.l.c., a Malta-based public limited company that operates an online gaming platform under the flagship brand Coolbet, for approximately €149m.&#160; The deal &#8211; made of a combination of cash and stock [&#8230;]The post Gan Limited to Acquire Coolbet, For Approx. €149M appeared first on FinSMEs.	(M&A)	Not Computed	('Gan Limited', 'PERSON')('Acquire Coolbet', 'PERSON')('Approx', 'PERSON')	-
11/20/2020, 16:32:56	11/20/2020, 12:45:02	FinSME	Cais Raises $50M in Series B Equity Funding	https://www.finsmes.com/2020/11/cais-raises-50m-in-series-b-equity-funding.html	Cais, a NYC-based alternative investment platform, raised $50M in Series B equity funding. Eldridge made the investment, which is subject and pending to FINRA approval, and Todd Boehly, Co-founder and CEO of Eldridge, joined the CAIS Board of Directors. The company intends to use the funds to continue to invest in innovative technologies, data and [&#8230;]The post Cais Raises $50M in Series B Equity Funding appeared first on FinSMEs.	(Funding)	Not Computed	('Cais', 'GPE')('50', 'MONEY')	-
11/20/2020, 16:32:56	11/20/2020, 12:15:00	FinSME	Sumeru Equity Partners Completes $720M Private Equity Fund	https://www.finsmes.com/2020/11/sumeru-equity-partners-completes-720m-private-equity-fund.html	Sumeru Equity Partners, a San Mateo, California-based private equity firm, closed Sumeru Equity Fund III, L.P., at $720m. The fund received support from existing and new LPs, securing commitments from prominent institutional investors in North America and Europe, including endowments, multi-manager funds, consultants, public pensions, corporate pensions and family offices. Fund III’s investment strategy focuses [&#8230;]The post Sumeru Equity Partners Completes $720M Private Equity Fund appeared first on FinSMEs.	(Funding)	Not Computed	('720', 'MONEY')	-
11/20/2020, 16:32:56	11/20/2020, 11:16:04	FinSME	Swaarm Raises €800K in Funding	https://www.finsmes.com/2020/11/swaarm-raises-e800k-in-funding.html	Swaarm, a Berlin, Germany-based SaaS company focused on performance-based tracking and optimization, raised €800K in seed funding. The round was led by Ilona van Megen and Rudolf van Megen, Supervisory Board Member of DE-CIX Group AG. The company intends to use the funds to continue to expand operations and its business reach. Led by David [&#8230;]The post Swaarm Raises €800K in Funding appeared first on FinSMEs.	(Funding)	Not Computed	('Swaarm Raises', 'PERSON')	-
11/20/2020, 16:32:56	11/20/2020, 10:16:42	FinSME	Stride Raises Funding from Moderne Ventures	https://www.finsmes.com/2020/11/stride-raises-funding-from-moderne-ventures.html	Stride, a San Francisco, CA-based portable benefits platform for independent contractors, raised an undisclosed amount in additional funding from Moderne Ventures. The amount of the deal was not disclosed. The company intends to use the funds to bring its portable benefits to real estate agents nationwide in partnership with Moderne, and to continue expansion of [&#8230;]The post Stride Raises Funding from Moderne Ventures appeared first on FinSMEs.	(Funding)	Not Computed	('Stride Raises Funding', 'ORG')('Moderne Ventures', 'ORG')	-
11/20/2020, 16:32:56	11/20/2020, 09:59:51	FinSME	AI21 Labs Raises $34.5M in Funding	https://www.finsmes.com/2020/11/ai21-labs-raises-34-5m-in-funding.html	AI21 Labs, a Tel Aviv, Israel-based AI language and writing company, raised $34.5m in equity funding. The round was led by Pitango First, the Seed and Early Stage fund of Pitango&#8217;s investment platform, Israel&#8217;s largest venture capital fund. with participation from TPY Capital. The company intends to use the funds to expand its product development [&#8230;]The post AI21 Labs Raises $34.5M in Funding appeared first on FinSMEs.	(Funding)	Not Computed	('AI21 Labs Raises', 'ORG')('$34.5M', 'MONEY')	-
11/20/2020, 16:32:56	11/20/2020, 09:46:04	FinSME	Plentific Acquires X Tag	https://www.finsmes.com/2020/11/plentific-acquires-x-tag.html	Plentific, a London, UK-based property technology platform, acquired X Tag (formally Gas Tag), a Liverpool, UK-based provider of technology solutions that allow housing providers to move into proactive, data-driven approaches. The amount of the deal was not disclosed. With the acquisition, Plentific will provide a SaaS-enabled marketplace solution providing integrated repairs, maintenance, and compliance services [&#8230;]The post Plentific Acquires X Tag appeared first on FinSMEs.	(M&A)	Not Computed		-
